workload,mode,run_id,duration_s,mean_cpu_percent,peak_rss_mb,can_send_count,can_send_rate_hz,trace_count,valid_trace_rate,total_latency_p50_ms,total_latency_p95_ms,total_latency_p99_ms,git_dirty
stress_20hz,flush,run_01,60.0,6.87395,188.304688,1187,19.783333,1187,1.0,1.029682,1.390094,1.713399,true
stress_20hz,flush,run_02,60.0,8.140678,188.410156,1151,19.183333,1151,1.0,1.14286,1.657353,2.049073,true
stress_20hz,flush,run_03,60.0,7.515,188.214844,1208,20.133333,1208,1.0,1.050568,1.720714,2.425523,true
stress_20hz,flush,run_04,60.0,7.213559,188.492188,1163,19.383333,1163,1.0,1.160053,1.698105,2.039507,true
stress_20hz,flush,run_05,60.0,7.375833,188.234375,1212,20.2,1212,1.0,1.045365,1.590033,1.986933,true
stress_20hz,flush,run_06,60.0,7.293333,188.128906,1214,20.233333,1214,1.0,1.053084,1.536869,2.049237,true
stress_20hz,flush,run_07,60.0,7.725833,188.226562,1211,20.183333,1211,1.0,1.01264,1.535131,2.351401,true
stress_20hz,flush,run_08,60.0,7.178448,188.101562,1129,18.816667,1129,1.0,1.062756,1.564638,2.255343,true
stress_20hz,flush,run_09,60.0,6.499153,188.207031,1109,18.483333,1109,1.0,1.072675,1.50652,2.169464,true
stress_20hz,flush,run_10,60.0,6.918487,188.257812,1109,18.483333,1109,1.0,1.127429,1.747872,2.214299,true
